LineCounter,Time,SpO2
1,17/03/2023 13:11,97
2,17/03/2023 13:11,97
3,17/03/2023 13:11,97
4,17/03/2023 13:11,97
5,17/03/2023 13:11,97
6,17/03/2023 13:11,97
7,17/03/2023 13:11,97
8,17/03/2023 13:11,97
9,17/03/2023 13:11,97
10,17/03/2023 13:11,97
11,17/03/2023 13:11,97
12,17/03/2023 13:11,97
13,17/03/2023 13:11,97
14,17/03/2023 13:11,97
15,17/03/2023 13:11,97
16,17/03/2023 13:11,97
17,17/03/2023 13:11,97
18,17/03/2023 13:11,97
19,17/03/2023 13:11,97
20,17/03/2023 13:11,97
21,17/03/2023 13:11,97
22,17/03/2023 13:11,97
23,17/03/2023 13:11,97
24,17/03/2023 13:11,97
25,17/03/2023 13:11,97
26,17/03/2023 13:11,97
27,17/03/2023 13:11,97
28,17/03/2023 13:11,97
29,17/03/2023 13:11,97
30,17/03/2023 13:11,97
31,17/03/2023 13:11,97
32,17/03/2023 13:11,97
33,17/03/2023 13:11,97
34,17/03/2023 13:11,97
35,17/03/2023 13:11,97
36,17/03/2023 13:11,97
37,17/03/2023 13:11,97
38,17/03/2023 13:11,97
39,17/03/2023 13:11,97
40,17/03/2023 13:11,97
41,17/03/2023 13:11,97
42,17/03/2023 13:11,97
43,17/03/2023 13:11,97
44,17/03/2023 13:11,97
45,17/03/2023 13:11,97
46,17/03/2023 13:11,97
47,17/03/2023 13:11,97
48,17/03/2023 13:11,97
49,17/03/2023 13:11,97
50,17/03/2023 13:11,97
51,17/03/2023 13:11,97
52,17/03/2023 13:11,97
53,17/03/2023 13:11,97
54,17/03/2023 13:11,97
55,17/03/2023 13:11,97
LineCounter,Time,SpO2
1,17/03/2023 13:11,97
2,17/03/2023 13:11,97
3,17/03/2023 13:11,97
4,17/03/2023 13:11,97
5,17/03/2023 13:11,97
6,17/03/2023 13:11,97
7,17/03/2023 13:11,97
8,17/03/2023 13:11,97
9,17/03/2023 13:11,97
10,17/03/2023 13:11,97
11,17/03/2023 13:11,97
12,17/03/2023 13:11,97
13,17/03/2023 13:11,97
14,17/03/2023 13:11,97
15,17/03/2023 13:11,97
16,17/03/2023 13:11,97
17,17/03/2023 13:11,97
18,17/03/2023 13:11,97
19,17/03/2023 13:11,97
20,17/03/2023 13:11,97
21,17/03/2023 13:11,97
22,17/03/2023 13:11,97
23,17/03/2023 13:11,97
24,17/03/2023 13:11,97
25,17/03/2023 13:11,97
26,17/03/2023 13:11,97
27,17/03/2023 13:11,97
28,17/03/2023 13:11,97
29,17/03/2023 13:11,97
30,17/03/2023 13:11,97
31,17/03/2023 13:11,97
32,17/03/2023 13:11,97
33,17/03/2023 13:11,97
34,17/03/2023 13:11,97
35,17/03/2023 13:11,97
36,17/03/2023 13:11,97
37,17/03/2023 13:11,97
38,17/03/2023 13:11,97
39,17/03/2023 13:11,97
40,17/03/2023 13:11,97
41,17/03/2023 13:11,97
42,17/03/2023 13:11,97
43,17/03/2023 13:11,97
44,17/03/2023 13:11,97
45,17/03/2023 13:11,97
46,17/03/2023 13:11,97
47,17/03/2023 13:11,97
48,17/03/2023 13:11,97
49,17/03/2023 13:11,97
50,17/03/2023 13:11,97
51,17/03/2023 13:11,97
52,17/03/2023 13:11,97
53,17/03/2023 13:11,97
54,17/03/2023 13:11,97
55,17/03/2023 13:11,97
56,17/03/2023 13:11,97
57,17/03/2023 13:11,97
58,17/03/2023 13:11,97
59,17/03/2023 13:11,97
60,17/03/2023 13:11,97
61,17/03/2023 13:11,97
62,17/03/2023 13:11,97
63,17/03/2023 13:11,97
64,17/03/2023 13:11,97
65,17/03/2023 13:11,97
66,17/03/2023 13:11,97
67,17/03/2023 13:11,97
68,17/03/2023 13:11,97
69,17/03/2023 13:11,97
70,17/03/2023 13:11,97
71,17/03/2023 13:11,97
72,17/03/2023 13:11,97
73,17/03/2023 13:11,97
74,17/03/2023 13:11,97
75,17/03/2023 13:11,97
76,17/03/2023 13:11,97
77,17/03/2023 13:11,97
78,17/03/2023 13:11,97
79,17/03/2023 13:11,97
80,17/03/2023 13:11,97
81,17/03/2023 13:11,97
82,17/03/2023 13:11,97
83,17/03/2023 13:11,97
84,17/03/2023 13:11,97
85,17/03/2023 13:11,97
86,17/03/2023 13:11,97
87,17/03/2023 13:11,97
88,17/03/2023 13:11,97
89,17/03/2023 13:11,97
90,17/03/2023 13:11,97
91,17/03/2023 13:11,97
92,17/03/2023 13:11,97
93,17/03/2023 13:11,97
94,17/03/2023 13:11,97
95,17/03/2023 13:11,97
96,17/03/2023 13:11,97
97,17/03/2023 13:11,97
98,17/03/2023 13:11,97
99,17/03/2023 13:11,97
100,17/03/2023 13:11,97
101,17/03/2023 13:11,97
102,17/03/2023 13:11,97
103,17/03/2023 13:11,97
104,17/03/2023 13:11,97
105,17/03/2023 13:11,97
106,17/03/2023 13:11,97
107,17/03/2023 13:11,97
108,17/03/2023 13:11,97
109,17/03/2023 13:11,97
110,17/03/2023 13:11,97
111,17/03/2023 13:11,97
112,17/03/2023 13:11,97
113,17/03/2023 13:11,97
114,17/03/2023 13:11,97
